Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2017-12-31,1.71,160039.02,46373.36,55040.01,0,58625.65,58526.97,98.68,0
2017-12-24,1.82,138506.44,25276.34,58176.83,0,55053.27,54984.78,68.49,0
2017-12-17,1.75,126089.01,24044.07,55284.97,0,46759.97,46698.32,61.65,0
2017-12-10,1.89,125853.18,31270.64,46280.63,0,48301.91,48263.46,38.45,0
2017-12-03,1.81,125973.2,23983.71,47847.46,0,54142.03,54089.5,52.53,0
2017-11-26,2,115472.08,23310.44,47380.19,0,44781.45,44756.79,24.66,0
2017-11-19,1.98,122170.14,25968.52,47146.26,0,49055.36,49022.35,33.01,0
2017-11-12,1.99,122017.93,29124.07,43952.88,1.59,48939.39,48885.5,53.89,0
2017-11-05,1.76,145735.09,27876.4,67331.86,0,50526.83,50478.71,48.12,0
2017-10-29,2.01,129602.47,29243.35,48086.52,0,52272.6,52247.85,24.75,0
2017-10-22,2,132184.44,27492.71,48684.87,0,56006.86,55961.39,45.47,0
2017-10-15,2.1,115255.48,25513.54,44390.25,0,45351.69,45271.06,80.63,0
2017-10-08,2.17,124505.87,26222.41,53539.49,0,44743.97,44692.13,51.84,0
2017-10-01,2.08,132771.77,31036.76,59948.6,0,41786.41,41755.45,30.96,0
2017-09-24,2.05,138458.82,34599.22,63107.77,1.57,40750.26,40700.41,49.85,0
2017-09-17,2.18,152064.59,48806.34,66114.77,0,37143.48,37121.28,22.2,0
2017-09-10,2.2,140337.35,40795.15,62854.16,0,36688.04,36679.32,8.72,0
2017-09-03,2.09,142391.81,33578.96,64298.99,0,44513.86,44484.97,28.89,0
2017-08-27,2.54,121293.43,31149.69,48281.23,0,41862.51,41815.14,47.37,0
2017-08-20,2.37,140365.99,28993.37,44771.32,1.57,66599.73,66546.4,53.33,0
2017-08-13,2.21,139016.53,27834.92,44902.56,0,66279.05,66110.1,168.95,0
2017-08-06,2.18,118098.82,18668.32,42686.77,0,56743.73,55680.44,1063.29,0
2017-07-30,2.14,113903.29,15243.52,40785.21,0,57874.56,57767.34,107.22,0
2017-07-23,2.17,128480.81,20884.31,52053.33,4.67,55538.5,55471.46,67.04,0
2017-07-16,2.14,127255.55,18861.09,52718.44,9.36,55666.66,55588.67,77.99,0
2017-07-09,1.62,169101.22,18593.36,54586.32,4.68,95916.86,95826.72,90.14,0
2017-07-02,1.73,163970.9,20969.94,58901.69,9.35,84089.92,83873.31,216.61,0
2017-06-25,1.66,167931.62,23367.89,53252.13,0,91311.6,89270.67,2040.93,0
2017-06-18,1.78,181725.85,32417.62,60616.15,0,88692.08,82117.33,6574.75,0
2017-06-11,1.79,179141.21,32283.4,64309.03,6.18,82542.6,82388.73,153.87,0
2017-06-04,1.64,206419.24,31578.61,80018.8,12.42,94809.41,94661.56,147.85,0
2017-05-28,1.76,197588.64,31705.67,68967.28,12.52,96903.17,96713.71,189.46,0
2017-05-21,1.78,183083.69,28908.03,67866.42,7.8,86301.44,86037.36,264.08,0
2017-05-14,1.76,167406.47,29347.26,61178.45,7.82,76872.94,75429.92,1443.02,0
2017-05-07,1.59,211442.68,27955.44,80576.31,1.61,102909.32,102120.45,788.87,0
2017-04-30,1.61,199903.62,29040.03,67606.93,7.79,103248.87,99212.47,4036.4,0
2017-04-23,1.6,197179.76,28028.44,69003.58,4.7,100143.04,86815.31,13327.73,0
2017-04-16,1.67,194263.4,28602.39,68759.01,7.85,96894.15,87693.86,9200.29,0
2017-04-09,1.63,186112.1,30319.27,66541.46,7.86,89243.51,82024.66,7218.85,0
2017-04-02,1.64,191988.18,31381.85,69457.56,17.3,91131.47,87215.5,3915.97,0
2017-03-26,1.7,194052.77,34618.57,71542.71,7.86,87883.63,84717.09,3166.54,0
2017-03-19,1.57,209591.02,25435.01,81224.16,39.25,102892.6,81019.63,21872.97,0
2017-03-12,1.53,210400.75,26372.8,73288.71,9.46,110729.78,96032.09,14697.69,0
2017-03-05,1.45,220712.33,28613.88,65742.41,6.34,126349.7,89588.54,36761.16,0
2017-02-26,1.34,215699.08,26443.61,69371.98,3.16,119880.33,102260.68,17619.65,0
2017-02-19,1.5,183797.3,27932.48,71026.47,3.16,84835.19,83854.04,981.15,0
2017-02-12,1.54,151754.58,27367.52,55812.63,20.18,68554.25,66789.82,1764.43,0
2017-02-05,1.36,169739.8,37220.31,82017.4,9.46,50492.63,49406.12,1086.51,0
2017-01-29,1.44,165225.54,30958.58,65973.06,23.2,68270.7,52928.72,15341.98,0
2017-01-22,1.53,136422.97,28034.89,54342.56,6.18,54039.34,49913.43,4125.91,0
2017-01-15,1.66,142739.21,27811.48,58090.25,3.08,56834.4,55364.11,1470.29,0
2017-01-08,1.5,177777.4,33563.39,69671.75,4.62,74537.64,69842.47,4695.17,0
2017-01-01,1.46,164137.04,31267.65,65430.27,6.16,67432.96,50963.98,16468.98,0
