Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2016-12-25,1.53,132890.31,22779.87,56237.83,10.76,53861.85,43478.17,10383.68,0
2016-12-18,1.61,122728.42,18006.04,60993.65,176.75,43551.98,37872.37,5679.61,0
2016-12-11,1.64,128204.63,20010.88,59840.22,49.16,48304.37,37233.95,11070.42,0
2016-12-04,1.89,116895.28,24442.77,50935.56,10.75,41506.2,38051.1,3455.1,0
2016-11-27,2.04,111851.52,21468.08,49401.43,9.22,40972.79,34501.89,6470.9,0
2016-11-20,2.1,107587.14,18289.69,44678.81,12.3,44606.34,39260.51,5345.83,0
2016-11-13,2.13,122099.57,21825.77,51895.85,7.69,48370.26,38872.27,9497.99,0
2016-11-06,2.37,119037.25,22140.03,56357.55,0,40539.67,27968.55,12571.12,0
2016-10-30,2.49,96095.1,17620.85,52989.92,1.54,25482.79,17096.29,8386.5,0
2016-10-23,2.58,75897.66,9139.12,53304.49,6.17,13447.88,13409.33,38.55,0
2016-10-16,2.02,95599.25,13352.47,54624.49,7.72,27614.57,27404.48,210.09,0
2016-10-09,1.98,128966.95,15488.42,67537.91,12.36,45928.26,45197.03,731.23,0
2016-10-02,1.91,138994.56,15505.79,70707.24,21.66,52759.87,46874.86,5885.01,0
2016-09-25,1.95,123708,12970.52,73572.34,10.84,37154.3,32296.6,4857.7,0
2016-09-18,1.84,139322.81,19979.78,76879.66,3.11,42460.26,36711.51,5748.75,0
2016-09-11,1.55,187617.54,22135.19,97386.14,27.95,68068.26,65803.6,2264.66,0
2016-09-04,1.65,178322.37,19885.38,82532.01,0,75904.98,72625.37,3279.61,0
2016-08-28,1.63,175422.72,20282.39,79271.95,9.33,75859.05,74991.99,867.06,0
2016-08-21,1.53,176650.09,28268.87,67090.59,3.11,81287.52,80495.19,792.33,0
2016-08-14,1.47,208956.81,28111.21,84313.38,35.82,96496.4,88974.66,7521.74,0
2016-08-07,1.48,210038.55,22201.7,79011.43,0,108825.42,81490.29,27335.13,0
2016-07-31,1.56,188494.23,21895.14,83894.93,12.45,82691.71,78991.53,3700.18,0
2016-07-24,1.56,185039.68,22033.28,82329.89,26.42,80650.09,70510.95,10139.14,0
2016-07-17,1.59,192800.93,21165.43,91337.45,7.76,80290.29,80258.73,31.56,0
2016-07-10,1.51,213417.87,30506.94,89764.31,10.85,93135.77,92965.62,170.15,0
2016-07-03,1.58,209495.6,24660.35,110483.19,21.71,74330.35,72414.48,1915.87,0
2016-06-26,1.51,204392.39,34450.42,103277.2,18.59,66646.18,66565.39,80.79,0
2016-06-19,1.57,196942.94,23134.77,102745.34,35.56,71027.27,70936.33,90.94,0
2016-06-12,1.5,192533.95,24728.3,101839.43,3.07,65963.15,65924,39.15,0
2016-06-05,1.55,182778.37,26377.62,88667.93,7.66,67725.16,67138.56,586.6,0
2016-05-29,1.49,203163.62,22713.1,99956.65,0,80493.87,79986.78,507.09,0
2016-05-22,1.37,211081.29,22352.56,102703.17,4.59,86020.97,86006.72,14.25,0
2016-05-15,1.5,202641.92,26935.79,102253.41,0,73452.72,73429.11,23.61,0
2016-05-08,1.25,256669.13,19169.71,147864.84,0,89634.58,89474.61,159.97,0
2016-05-01,1.24,225346.56,16747.64,132440.93,0,76157.99,76042.95,115.04,0
2016-04-24,1.39,208434.9,18891.23,100137.58,3.04,89403.05,89320.2,82.85,0
2016-04-17,1.39,187358.5,17320,84073.76,6.08,85958.66,85340.06,618.6,0
2016-04-10,1.4,193519.09,16938.01,93768.59,0,82812.49,78412.84,4399.65,0
2016-04-03,1.39,206688.54,17840.63,115062.35,0,73785.56,63388.93,10396.63,0
2016-03-27,1.42,184634.36,14744.95,92064.48,7.58,77817.35,62300.77,15516.58,0
2016-03-20,1.46,172196.69,15752,89041.95,7.6,67395.14,60109.32,7285.82,0
2016-03-13,1.41,199915.92,18235.75,101106.75,0,80573.42,67515.24,13058.18,0
2016-03-06,1.32,198961.57,19796.42,86184.7,3.04,92977.41,92547.86,429.55,0
2016-02-28,1.28,214658.47,16583.5,95085.1,4.55,102985.32,102374.94,610.38,0
2016-02-21,1.43,161206.07,14702.41,81578.02,12.13,64913.51,62863.57,2049.94,0
2016-02-14,1.47,158522.76,11345.11,87139.61,97.12,59940.92,48968.58,10972.34,0
2016-02-07,1.38,156586.25,13085.23,84118.36,78.91,59303.75,42734.34,16569.41,0
2016-01-31,1.43,155319.35,17862.54,79184.75,124.41,58147.65,44998.95,13148.7,0
2016-01-24,1.36,154438.32,13658.82,86743.65,0,54035.85,17413.71,36622.14,0
2016-01-17,1.45,125541.88,16081.34,66398.85,0,43061.69,22825.96,20235.73,0
2016-01-10,1.33,138580.98,17520.67,60382.97,0,60677.34,45417.9,15259.44,0
2016-01-03,1.43,122089.29,18211.06,66433.31,0,37444.92,30530.14,6914.78,0
